activity_id,molecule_chembl_id,canonical_smiles,molecule_pref_name,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_chembl_id,assay_description,assay_type,document_chembl_id,document_journal,document_year,target_chembl_id,target_pref_name
140462,CHEMBL499101,N[C@@H](CC(=O)O)C(=O)N1CCCC1,,IC50,=,122000.0,nM,,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL1135386,Bioorg Med Chem Lett,2002,CHEMBL284,Dipeptidyl peptidase 4
141671,CHEMBL328694,NCCCCC(N)C(=O)N1CCCC1,,IC50,=,39000.0,nM,4.41,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL1135386,Bioorg Med Chem Lett,2002,CHEMBL284,Dipeptidyl peptidase 4
144184,CHEMBL317537,NC[C@H](N)C(=O)N1CCCCC1,,IC50,>,1000000.0,nM,,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL1135386,Bioorg Med Chem Lett,2002,CHEMBL284,Dipeptidyl peptidase 4
144187,CHEMBL98408,CC[C@H](C)[C@H](N)C(=O)N1CCSC1,,Ki,=,126.0,nM,6.90,CHEMBL666574,Inhibition of Dipeptidyl Peptidase IV,B,CHEMBL1135386,Bioorg Med Chem Lett,2002,CHEMBL284,Dipeptidyl peptidase 4
145264,CHEMBL423148,C[C@H](N)C(=O)N1CCCCC1P(=O)(Oc1ccc(Cl)cc1)Oc1ccc(Cl)cc1,,Inhibition,=,88.0,%,,CHEMBL664816,Percentage inhibition was measured on human placenta dipeptidylpeptidase 4 after 2 min incubation,B,CHEMBL1127410,J Med Chem,1994,CHEMBL284,Dipeptidyl peptidase 4
145265,CHEMBL423148,C[C@H](N)C(=O)N1CCCCC1P(=O)(Oc1ccc(Cl)cc1)Oc1ccc(Cl)cc1,,Inhibition,=,100.0,%,,CHEMBL857573,Percentage inhibition was measured on human placenta dipeptidylpeptidase 4 after 30 min,B,CHEMBL1127410,J Med Chem,1994,CHEMBL284,Dipeptidyl peptidase 4
145267,CHEMBL423148,C[C@H](N)C(=O)N1CCCCC1P(=O)(Oc1ccc(Cl)cc1)Oc1ccc(Cl)cc1,,K obs / 1,=,156.0,M-1 s-1,,CHEMBL666471,The second order inhibition rate constant was measured against human placenta dipeptidylpeptidase 4,B,CHEMBL1127410,J Med Chem,1994,CHEMBL284,Dipeptidyl peptidase 4
147506,CHEMBL1743686,Br.N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1P(=O)(Oc1ccccc1)Oc1ccccc1,,Inhibition,=,0.0,%,,CHEMBL664816,Percentage inhibition was measured on human placenta dipeptidylpeptidase 4 after 2 min incubation,B,CHEMBL1127410,J Med Chem,1994,CHEMBL284,Dipeptidyl peptidase 4
147507,CHEMBL1743686,Br.N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1P(=O)(Oc1ccccc1)Oc1ccccc1,,Inhibition,=,0.0,%,,CHEMBL857573,Percentage inhibition was measured on human placenta dipeptidylpeptidase 4 after 30 min,B,CHEMBL1127410,J Med Chem,1994,CHEMBL284,Dipeptidyl peptidase 4
148822,CHEMBL305170,CC(C)[C@@H](N)C(=O)N1CCC[C@H]1B(O)O,,IC50,=,116000.0,nM,,CHEMBL665783,In vitro for inhibition of Dipeptidylpeptidase IV.,B,CHEMBL1129318,J Med Chem,1996,CHEMBL284,Dipeptidyl peptidase 4
148825,CHEMBL1790478,C[C@@H](O)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,,IC50,=,190.0,nM,6.72,CHEMBL665783,In vitro for inhibition of Dipeptidylpeptidase IV.,B,CHEMBL1129318,J Med Chem,1996,CHEMBL284,Dipeptidyl peptidase 4
149953,CHEMBL66032,CC[C@H](N)C(=O)N1CCC[C@H]1B(O)O,,IC50,=,11.0,nM,7.96,CHEMBL665783,In vitro for inhibition of Dipeptidylpeptidase IV.,B,CHEMBL1129318,J Med Chem,1996,CHEMBL284,Dipeptidyl peptidase 4
149954,CHEMBL63726,NCCCC[C@H](N)C(=O)N1CCC[C@H]1B(O)O,,IC50,=,95.0,nM,7.02,CHEMBL665783,In vitro for inhibition of Dipeptidylpeptidase IV.,B,CHEMBL1129318,J Med Chem,1996,CHEMBL284,Dipeptidyl peptidase 4
153609,CHEMBL128838,NCCCC[C@H](N)C(=O)N1CCCCC1P(=O)(Oc1ccccc1)Oc1ccccc1,,Inhibition,=,35.0,%,,CHEMBL664816,Percentage inhibition was measured on human placenta dipeptidylpeptidase 4 after 2 min incubation,B,CHEMBL1127410,J Med Chem,1994,CHEMBL284,Dipeptidyl peptidase 4
153610,CHEMBL128838,NCCCC[C@H](N)C(=O)N1CCCCC1P(=O)(Oc1ccccc1)Oc1ccccc1,,Inhibition,=,88.0,%,,CHEMBL857573,Percentage inhibition was measured on human placenta dipeptidylpeptidase 4 after 30 min,B,CHEMBL1127410,J Med Chem,1994,CHEMBL284,Dipeptidyl peptidase 4
