protease_family,protease_name_example,total_cleavages,organisms_count,is_exopeptidase
U69,AIDA-I self-cleaving autotransporter protein ({Escherichia coli}),1,1,False
C97,desumoylating isopeptidase 1,1,1,False
S82,autocrine proliferation repressor protein A ({Dictyostelium discoideum}),1,1,False
C59,penicillin V acylase precursor,1,1,False
G04,Tiki1 peptidase,1,1,False
C27,rubella virus peptidase,1,1,False
M86,PghP gamma-polyglutamate hydrolase (bacteriophage),1,1,False
M78,ImmA peptidase,1,1,False
C23,carlavirus peptidase,1,1,False
M88,IMPa peptidase ({Pseudomonas aeruginosa}),1,1,False
M76,ATP23 peptidase ({Saccharomyces cerevisiae}-type),1,1,False
M44,pox virus metallopeptidase,1,1,False
M26,IgA1-specific metallopeptidase,1,1,False
M102,DA1 peptidase ({Arabidopsis thaliana}),1,1,False
M100,spartan peptidase,1,1,False
C44,amidophosphoribosyltransferase precursor,1,1,False
M98,YghJ g.p. ({Escherichia coli}),1,1,False
M95,selecase ({Methanocaldococcus jannaschii}),1,1,False
M91,NleD peptidase ({Escherichia coli}-type),1,1,False
P01148,nan,1,1,False
C110,kyphoscoliosis peptidase,1,1,False
P02666,nan,1,1,False
C111,coagulation factor XIIIa,1,1,False
C115,MINDY-1 protein,1,1,False
C121,MINDY-4 peptidase,1,1,False
N02,tetravirus coat protein,1,1,False
N07,reovirus type 1 coat protein,1,1,False
C07,chestnut blight fungus virus p29 peptidase,1,1,False
C08,chestnut blight fungus virus p48 peptidase,1,1,False
C104,PlyPy phage lysin,1,1,False
C102,GtgE peptidase,1,1,False
C101,OTULIN peptidase,1,1,False
S71,MUC1 self-cleaving mucin,1,1,False
S73,gpO peptidase (Enterobacteria phage P2),1,1,False
S72,dystroglycan,1,1,False
S79,CARD8 self-cleaving protein,1,1,False
X42,protease I,1,1,False
