molecule_id,smiles,ic50_nm,pchembl,assay_description,journal,year
CHEMBL151461,O=C(C1CCC[C@H]1B(O)O)[C@@H]1CCCN1,88200.0,4.05,Inhibitory activity against Dipeptidylpeptidase IV (DPP IV) in human acute lymphoblastic leukemia MOLT-4 cell line,Bioorg Med Chem Lett,1999
CHEMBL153096,CCc1cccc(CC)c1N1C(=O)c2cccc(O)c2C1=O,43300.0,4.36,Inhibitory activity against Dipeptidylpeptidase IV (DPP IV) in human acute lymphoblastic leukemia MOLT-4 cell line,Bioorg Med Chem Lett,1999
CHEMBL424612,Cc1cccc(C)c1N1C(=O)c2ccc(O)cc2C1=O,74100.0,4.13,Inhibitory activity against Dipeptidylpeptidase IV (DPP IV) in human acute lymphoblastic leukemia MOLT-4 cell line,Bioorg Med Chem Lett,1999
CHEMBL153037,CC(C)c1cccc(C(C)C)c1N1C(=S)c2c(F)c(F)c(F)c(F)c2C1=S,36700.0,4.43,Inhibitory activity against Dipeptidylpeptidase IV (DPP IV) in human acute lymphoblastic leukemia MOLT-4 cell line,Bioorg Med Chem Lett,1999
CHEMBL169758,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@@H](OC(=O)Nc2ccc(I)cc2)C1,660.0,6.18,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,Bioorg Med Chem Lett,2004
CHEMBL168986,CS(=O)(=O)c1ccc(S(=O)(=O)N[C@H]2CC[C@H]([C@H](N)C(=O)N3CCCC3)C2)cc1,130.0,6.89,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,Bioorg Med Chem Lett,2004
CHEMBL366751,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)C1,550.0,6.26,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,Bioorg Med Chem Lett,2004
CHEMBL172276,N[C@H](C(=O)N1CCCC1)[C@@H]1CC[C@H](OC(=O)Nc2ccc(I)cc2)C1,670.0,6.17,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,Bioorg Med Chem Lett,2004
CHEMBL171033,COc1ccc(NC(=O)O[C@@H]2CCC[C@H]([C@H](N)C(=O)N3CCSC3)C2)cc1,83.0,7.08,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,Bioorg Med Chem Lett,2004
CHEMBL439836,CS(=O)(=O)NCCS(=O)(=O)N[C@@H]1CC[C@@H]([C@H](N)C(=O)N2CCCC2)C1,71.0,7.15,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,Bioorg Med Chem Lett,2004
CHEMBL352343,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@@H](OC(=O)Nc2ccc(Cl)c(Cl)c2)C1,280.0,6.55,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,Bioorg Med Chem Lett,2004
CHEMBL169962,N[C@H](C(=O)N1CCCC1)[C@@H]1CC[C@@H](NS(=O)(=O)c2ccc(C(=O)O)cc2)C1,110.0,6.96,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,Bioorg Med Chem Lett,2004
CHEMBL352737,COc1ccc(NC(=O)O[C@H]2CCC[C@H]([C@H](N)C(=O)N3CCCC3)C2)cc1,480.0,6.32,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,Bioorg Med Chem Lett,2004
CHEMBL368156,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](O)C1,840.0,6.08,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,Bioorg Med Chem Lett,2004
CHEMBL171437,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(C(=O)O)cc2)C1,72.0,7.14,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,Bioorg Med Chem Lett,2004
